outer_fold,inner_year,candidate,family,target_family,horizon_sessions,candidate_coverage,coverage_loss,baseline_rank_ic_mean,baseline_rank_ic_median,baseline_rank_ic_std,baseline_positive_ic_ratio,baseline_icir,baseline_ndcg,baseline_spread,baseline_signal_dates,candidate_rank_ic_mean,candidate_rank_ic_median,candidate_rank_ic_std,candidate_positive_ic_ratio,candidate_icir,candidate_ndcg,candidate_spread,candidate_signal_dates,delta_rank_ic,delta_median_ic,delta_ndcg
O2,2022,log_amihud63,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.043526509397629504,-0.06710829493087558,0.2680398700426046,0.3333333333333333,0.16238819019987966,0.5588417993982175,0.07610640342024169,3,0.018731775993985914,-0.08770161290322581,-0.08929598944845074
O2,2021,zero_return_ratio20,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,-0.019838844123367602,-0.005001389274798556,0.10826731083412351,0.3333333333333333,-0.18323946508436625,0.48603621895522364,0.001461322544423158,3,-0.24058534778179125,-0.2985273687135316,-0.09227755872284116
O2,2022,zero_return_ratio20,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.05300518972030549,0.026497695852534562,0.12328260976648743,0.6666666666666666,0.42994863444815046,0.6542818983736206,0.09396792792551935,3,0.0282104563166619,0.0059043778801843305,0.006144109526952324
O2,2021,zero_return_ratio63,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,-0.10326942669259982,-0.05201444845790498,0.11764241619000901,0.0,-0.8778247679459865,0.44105061937144524,-0.03575048829809809,3,-0.3240159303510235,-0.345540427896638,-0.13726315830661956
O2,2022,zero_return_ratio63,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.02513162009359431,0.02193740399385561,0.07224062065190837,0.6666666666666666,0.34788765471286703,0.6493420471599909,0.10899458373529029,3,0.0003368866899507196,0.0013440860215053786,0.0012042583133226037
O2,2021,volume_cv63,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.03902936000740947,0.05529313698249515,0.18375814888681202,0.6666666666666666,0.2123952610746534,0.4875723751473069,-0.021367587381864464,3,-0.18171714365101418,-0.23823284245623788,-0.09074140253075791
O2,2022,volume_cv63,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.05865046482730383,0.012624807987711215,0.09791959466601174,0.6666666666666666,0.5989655597263376,0.6258333518107606,0.09078856472413228,3,0.03385573142366024,-0.007968509984639017,-0.022304437035907676
O3,2022,mom_20,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.12790635238610262,0.14074500768049156,0.14634357330171693,0.6666666666666666,0.874014140152214,0.6595486902972993,0.25670552763645826,3,0.1414905362501133,0.1268721198156682,0.16560540008996008,0.6666666666666666,0.8543835899871193,0.6504547612731263,0.21851461705369238,3,0.013584183864010668,-0.013872887864823352,-0.009093929024173053
O3,2023,mom_20,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.05384318806144687,0.15168808364594144,0.32501292852189223,0.6666666666666666,0.16566475772615333,0.5577188087546538,0.11779228205130504,3,0.05262563311661985,0.14737808284779313,0.323482019827379,0.6666666666666666,0.16268487857440322,0.5583963973742998,0.11803567557182487,3,-0.0012175549448270179,-0.004310000798148306,0.0006775886196459524
O3,2022,mom_40,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.12790635238610262,0.14074500768049156,0.14634357330171693,0.6666666666666666,0.874014140152214,0.6595486902972993,0.25670552763645826,3,0.14306252593775337,0.13564879133092528,0.14292941719729346,1.0,1.0009312900246152,0.6142174007492608,0.20915367234780455,3,0.015156173551650748,-0.005096216349566279,-0.045331289548038556
O3,2023,mom_40,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.05384318806144687,0.15168808364594144,0.32501292852189223,0.6666666666666666,0.16566475772615333,0.5577188087546538,0.11779228205130504,3,0.0720807313664305,0.16158512251576346,0.29883704705050523,0.6666666666666666,0.2412041347545789,0.5428826625982652,0.18854471868573688,3,0.018237543304983637,0.009897038869822017,-0.014836146156388619
O3,2022,mom_63_rank,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.12790635238610262,0.14074500768049156,0.14634357330171693,0.6666666666666666,0.874014140152214,0.6595486902972993,0.25670552763645826,3,0.1262396601106839,0.14564132104454688,0.14054031955509824,0.6666666666666666,0.8982451478003947,0.6617396613647366,0.26845280657046966,3,-0.001666692275418713,0.004896313364055327,0.002190971067437264
O3,2023,mom_63_rank,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.05384318806144687,0.15168808364594144,0.32501292852189223,0.6666666666666666,0.16566475772615333,0.5577188087546538,0.11779228205130504,3,0.01388813362035488,0.09130816505706761,0.30989899477286115,0.6666666666666666,0.04481503281588285,0.5241320969529287,0.0674906128399792,3,-0.039955054441091986,-0.06037991858887383,-0.03358671180172512
O3,2022,mom_126,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.12790635238610262,0.14074500768049156,0.14634357330171693,0.6666666666666666,0.874014140152214,0.6595486902972993,0.25670552763645826,3,0.13638523768549807,0.15749807987711215,0.14236879439081876,0.6666666666666666,0.9579714309521008,0.6595486902972993,0.2685581285084353,3,0.008478885299395444,0.01675307219662059,0.0
O3,2023,mom_126,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.05384318806144687,0.15168808364594144,0.32501292852189223,0.6666666666666666,0.16566475772615333,0.5577188087546538,0.11779228205130504,3,0.04620423745823787,0.12175752254768939,0.32301567099346923,0.6666666666666666,0.14304023490913553,0.5593979804819741,0.10788220951944712,3,-0.007638950603208995,-0.029930561098252054,0.001679171727320239
O3,2022,mom_252,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.12790635238610262,0.14074500768049156,0.14634357330171693,0.6666666666666666,0.874014140152214,0.6595486902972993,0.25670552763645826,3,0.14093730540016025,0.14420122887864825,0.13707834590943233,1.0,1.0281514885894345,0.6488673174376713,0.2572480979172458,3,0.013030953014057628,0.003456221198156695,-0.010681372859628002
O3,2023,mom_252,MOMENTUM,VOL_SCALED,60,1.0,0.0,0.05384318806144687,0.15168808364594144,0.32501292852189223,0.6666666666666666,0.16566475772615333,0.5577188087546538,0.11779228205130504,3,0.05673915076634642,0.13357011732779953,0.31503300457996064,0.6666666666666666,0.18010541734189972,0.5326703899237409,0.10651441192241601,3,0.0028959627048995504,-0.018117966318141915,-0.02504841883091291
