date,nav,cash_weight,holdings,outer_fold,architecture,case,k,cost_bps,delay_sessions,capital_try,adv_limit_pct
2022-03-29,1.1616326806594146,1.2527122790748523e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-30,1.1795738580818447,1.2336586750091547e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-31,1.1915588303704343,1.221250252817389e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-01,1.206178209895975,1.2064481938885182e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-04,1.2428102960998244,1.170887888041605e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-05,1.258936651004792,1.1558893941766307e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-06,1.2909827145184114,1.1271967521110694e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-07,1.3207584083124388,1.101784787950746e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-08,1.3603901040956805,1.0696869364571158e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-11,1.397609571041957,1.0412003130114508e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-12,1.388381138819626,1.0481210685949393e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-13,1.3608915680652192,1.0692927761361123e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-14,1.3632314329559445,1.0674574306736313e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-15,1.3902428743091475,1.0467174834899352e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-18,1.4005590356905797,1.0390076289209526e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-19,1.3943298067641208,1.0436494405967041e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-20,1.40682604796662,1.0343791437043485e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-21,1.414539758152042,1.0287385097876293e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-22,1.3729826130664848,1.0598761477296431e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-25,1.3792481545274227,1.0550614246319461e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-26,1.3558383109636285,1.0732780679448745e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-27,1.3700983586884956,1.0621073396727836e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-28,1.3715592386493152,1.0609760641980943e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-04-29,1.37119803172662,1.0612555511068669e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-05,1.3984651974852926,1.040563272831814e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-06,1.398058080102237,1.0408662869930768e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-09,1.3952404854073437,1.0429682467333499e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-10,1.4102103929264338,1.0318967511059876e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-11,1.3927533407665411,1.044830753761308e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-12,1.3658464320350125,1.065413716144175e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-13,1.3952329650681377,1.0429738683572598e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-16,1.3869832521283483,1.0491774292181757e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-17,1.3842053852265261,1.0512829514808904e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-18,1.3788352692229546,1.0553773574828568e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-20,1.3772795374988744,1.0565694786109275e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-23,1.377269854862072,0.0671817205216948,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-24,1.3898677952952765,0.06657277676733385,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-25,1.4177407304210576,0.06526394882145976,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-26,1.4360246562535501,0.06443298732327747,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-27,1.422425508585537,0.0650490010997541,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-30,1.459861467937909,0.06338091695987848,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-05-31,1.483877716276918,0.062355110166659886,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-01,1.5125839079332162,0.06117171945768458,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-02,1.540617273142911,0.06005862720436723,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-03,1.571576771412265,0.058875493806867026,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-06,1.613971916833432,0.057328976735750756,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-07,1.6145531245689924,0.05730833941868542,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-08,1.5596602680734688,0.05932532896192258,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-09,1.5884449005102204,0.05825027890018622,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-10,1.5843255216678338,0.05840173449638967,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-13,1.5502017022508534,0.059687302844495346,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-14,1.5721574891053618,0.05885374659567452,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-15,1.600025884986845,0.05782866348631581,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-16,1.5859494330166701,0.05834193483476993,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-17,1.6138284721831457,0.057334072404318315,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-20,1.631568438227928,0.0567106817614064,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-21,1.6431291641530361,0.056311676824257965,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-22,1.6344845377361257,0.056609503691271185,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-23,1.6307020377108603,0.05674081244307914,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-24,1.6348701261344656,0.05659615219165651,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-27,1.6055220921715694,0.05763069777953029,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-28,1.5848942828908028,0.05838077622662099,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-29,1.547835304389386,0.0597785553862919,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-06-30,1.5460234780042688,0.059848611478876525,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-01,1.5692715343307988,0.058961981051772736,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-04,1.5413597995767618,0.06002969488221098,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-05,1.5293982192401296,0.06049919328287856,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-06,1.5463902751594183,0.05983441564436907,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-07,1.566255104998041,0.05907553512645349,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-08,1.5681053296428784,0.05900583125584501,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-13,1.5795126753580024,0.05857968721354339,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-14,1.5590757206448849,0.05934757192808219,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-18,1.5996941442547266,0.05784065585575172,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-19,1.6394911886119166,0.05643663053208456,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-20,1.64852048504169,0.05612751513364357,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-21,1.6448358084514045,0.05625324910661594,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-22,1.6402431780836924,0.056410756471122314,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-25,1.6587945574264982,0.05577987826042093,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-26,1.6354816662017149,0.05657498973203829,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-27,1.623665481276264,0.056986712804640516,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-28,1.602533619183708,0.057738169960783785,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-07-29,1.6261737557957627,0.05689881425187614,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-01,1.6594737183748554,0.055757049628307555,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-02,1.6607728419526075,0.055713434212659944,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-03,1.6920366240179157,0.054684016385285514,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-04,1.718228603340435,0.05385043543822691,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-05,1.7341006183353684,0.05335754886075732,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-08,1.7677200436778078,0.052342767059308924,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-09,1.770317663165993,0.052265963559797075,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-10,1.7877680503248643,0.051755795980068714,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-11,1.795694220103741,0.051527346603005376,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-12,1.7962200880699564,0.05151226126845058,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-15,1.8288500024026042,0.050593191541538934,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-16,1.8331586895545002,0.05047427644945739,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-17,1.8672526070436213,0.04955267333582431,14,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-18,1.8790631782000362,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-19,1.8797788134437194,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-22,1.9184214769976493,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-23,1.9564680358962436,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-24,1.937466347168464,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-25,1.9895694243479247,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-26,1.9915884010042466,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-29,1.9774915290734698,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-08-31,1.9799036161914867,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-01,1.972066956897972,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-02,1.998567245566667,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-05,2.056927304721198,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-06,2.085104842967167,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-07,2.0621004310903768,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-08,2.101498406307619,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-09,2.1470162588951167,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-12,2.217689272866111,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-13,2.101650084370636,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-14,2.1050389945856183,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-15,2.0667343809644088,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-16,2.1082489026135396,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-19,2.024236035820798,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-20,2.051448469250493,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-21,2.054710869812907,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-22,2.082120151515615,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-23,2.0866797165345483,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-26,2.05728369368758,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-27,2.0745594484449024,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-28,2.0311320980180576,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-29,1.9857485498529193,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-09-30,1.996646888321554,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-10-03,2.106464583469874,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-10-04,2.1388520524787014,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-10-05,2.1370117687676706,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-10-06,2.1888472281901517,0.0,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
