outer_fold,architecture,cost_bps,delay_sessions,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O1,LAMBDAMART,50,2,2.155159999570089,3.996086424310074,6.2571568943578235,-0.12775908132408054,-0.048909104619146326,180,1.1194753396553656,4.477901358621462,42,42,0,1.0,15813.017762909445,0.0034887652898909463,10.0,0,0.0003049998299541424,0.003621753702430317,0.012632846189867009,0.018889022126506994,0.0
O1,ENSEMBLE_50_50,0,0,1.4869370070014893,2.580392996072781,4.824087408036964,-0.11450605351731002,-0.08547366638383103,180,1.2194003228352306,4.877601291340922,45,43,2,0.9555555555555556,0.0,0.059020959093786705,9.331491712707182,0,0.00038121764392958266,0.0035785854873300986,0.00441192327568299,0.007317545711324392,0.0
O1,ENSEMBLE_50_50,30,0,1.60707180713437,2.8248480842786154,4.683156373721134,-0.14535200595875464,-0.08521775333432535,180,1.3034182610017908,5.213673044007163,46,46,0,1.0,7841.032172126999,0.0014757141876609748,10.0,0,0.00037446040768708306,0.003492835893598176,0.0043446733316172435,0.007244763999780677,0.0
O1,ENSEMBLE_50_50,50,0,1.5772371670958338,2.7637098889483154,4.636372213279565,-0.14529915705196195,-0.08504459219800464,180,1.3002984835843345,5.201193934337338,46,46,0,1.0,12940.45001278934,0.002483472067522089,10.0,0,0.00037295352475876485,0.003464622538193748,0.004317522420069844,0.007196533985546714,0.0
O1,ENSEMBLE_50_50,100,0,1.5041636336670146,2.6151621884624086,4.512584112441754,-0.14515649757802873,-0.08460272694290938,180,1.292450330948613,5.169801323794452,46,46,0,1.0,25250.98560138739,0.0050880158996489365,10.0,0,0.0003691863174379692,0.0033949478312682393,0.0042501195929456875,0.007076971002974384,0.0
O1,ENSEMBLE_50_50,50,1,1.6028353314969515,2.8161494167463483,4.76040237088118,-0.14530878149332804,-0.08493641056321355,180,1.3024340667115426,5.20973626684617,46,46,0,1.0,13068.995058063369,0.002477489927150303,10.0,0,0.00039861000676096655,0.0030368278976633314,0.0043369480761521135,0.007465798252444912,0.0
O1,ENSEMBLE_50_50,50,2,1.8509686853214404,3.3350032353513104,5.570668000487848,-0.146334585349031,-0.05902344865034814,180,1.3019919873340728,5.207967949336291,46,46,0,1.0,14315.10237150065,0.002361787079749466,10.0,0,0.00039993977396827573,0.0030775301349513246,0.0045689052156023015,0.008169361294852174,0.0
O2,LGBM_REGRESSION,0,0,0.9890158076342599,1.6187469141401327,2.210341792215961,-0.2675046096727931,-0.08938052962038334,180,1.284026783872493,5.136107135489972,46,45,1,0.9782608695652174,0.0,0.028472367924238226,9.662983425414364,0,0.00019945509155272536,0.00389682931342951,0.008332324256545313,0.019954386524374854,0.0
O2,LGBM_REGRESSION,30,0,0.961219222104801,1.567654573028252,2.1566190317930127,-0.270123274452461,-0.08911648596012267,180,1.322187957636194,5.288751830544776,46,46,0,1.0,5898.70143229058,0.0015389465043541338,10.0,0,0.00019801077618073913,0.0038734483375489326,0.008282330311006041,0.019834660205228602,0.0
O2,LGBM_REGRESSION,50,0,0.9402040101892519,1.5292185421654252,2.134002697098401,-0.27184613536277114,-0.088937811333204,180,1.3188514788184196,5.275405915273678,46,46,0,1.0,9742.264861514599,0.0025899242868795825,10.0,0,0.00019705187401650078,0.0038578610202952145,0.00824900101397986,0.019754842659131102,0.0
